num_frames,num_frames_avg,num_packets,num_packets_avg,num_packets_out_avg,num_packets_out_max,num_packets_out_min,num_packets_in_avg,num_packets_in_max,num_packets_in_min,weighted_num_packets_in_avg,weighted_num_packets_in_max,weighted_num_packets_in_min,frac_packets_in_out_avg,frac_packets_in_out_max,frac_packets_in_out_min,frac_packets_in_out_pan_avg,frac_packets_in_out_pan_max,frac_packets_in_out_pan_min,num_packets_equal_src_avg,num_packets_equal_src_max,num_packets_equal_src_min,num_packets_equal_src_pan_avg,num_packets_equal_src_pan_max,num_packets_equal_src_pan_min,num_packets_equal_dest_avg,num_packets_equal_dest_max,num_packets_equal_dest_min,num_packets_equal_dest_pan_avg,num_packets_equal_dest_pan_max,num_packets_equal_dest_pan_min,num_frames_out_avg,num_frames_out_max,num_frames_out_min,num_frames_in_avg,num_frames_in_max,num_frames_in_min,weighted_num_frames_in_avg,weighted_num_frames_in_max,weighted_num_frames_in_min,num_route_msgs,num_forwarded_packets,num_forwarded_packets_avg,num_forwarded_packets_max,num_forwarded_packets_min,num_packets_created_avg,num_packets_created_max,num_packets_created_min,frac_packets_created_acquired_avg,frac_packets_created_acquired_max,frac_packets_created_acquired_min,class
38007,2533,31348,2089,218,1777,46,266,2266,38,124.13,1519.0,303.33,0.31,1,0,1.0,1,1,63,77,46,378,382,372,63,84,41,378,398,344,271,2198,59,320,2672,42,147.6,1808.0,352.33,4776,8740,583,1328,108,69,136,46,1.02,2,1,0
32695,2179,26253,1750,212,1726,48,212,1814,34,111.89,1814.0,257.0,0.32,1,0,0.4,1,0,63,83,48,379,383,375,63,87,44,379,420,339,264,2134,56,264,2264,43,139.25,2264.0,316.67,0,8627,575,1344,105,32,83,48,1.0,1,1,0
32655,2177,26396,1759,212,1654,41,212,1701,30,86.0,1157.0,200.33,0.29,1,0,0.47,1,0,63,76,41,380,384,374,63,81,47,380,414,341,263,2077,50,263,2130,31,106.13,1434.0,252.67,0,8668,578,1270,120,21,76,41,1.0,1,1,0
33541,2236,26612,1774,213,1695,50,214,1741,38,107.57,1427.0,298.0,0.29,1,0,0.6,1,0,63,82,50,380,384,376,63,88,40,380,405,357,269,2128,59,270,2195,43,136.28,1830.0,371.33,0,8787,586,1316,112,1,82,50,1.0,1,1,0
32925,2195,26472,1764,213,1750,44,213,1805,35,89.26,1364.0,194.67,0.32,1,0,0.4,1,0,63,83,44,379,382,375,63,85,48,379,421,351,265,2164,52,265,2226,47,110.86,1698.0,240.0,0,8783,586,1375,115,1,83,44,1.0,1,1,0
33223,2214,26411,1760,214,1735,46,213,1758,38,91.2,1184.0,264.0,0.29,1,0,0.53,1,0,63,82,45,380,383,376,63,84,37,380,415,354,268,2168,58,268,2194,44,114.6,1506.0,335.0,0,8735,582,1353,124,1,82,45,1.0,1,1,0
32585,2172,26277,1751,212,1671,47,212,1716,35,88.83,1190.0,267.0,0.28,1,0,0.53,1,0,63,79,47,379,383,374,63,88,44,379,404,336,264,2090,57,263,2136,43,110.05,1501.0,320.0,0,8707,580,1290,117,1,79,47,1.0,1,1,0
32881,2192,26131,1742,212,1667,46,211,1714,32,90.66,1714.0,204.67,0.31,1,0,0.53,1,0,63,80,46,378,382,376,63,80,41,378,405,351,266,2095,57,265,2144,36,113.69,2143.0,260.0,0,8615,574,1289,111,1,80,46,1.0,1,1,0
32940,2196,26088,1739,211,1686,48,211,1750,37,74.13,857.0,260.0,0.29,1,0,0.33,1,0,63,84,48,379,382,375,63,84,46,379,425,345,266,2147,60,266,2235,40,93.41,1070.0,326.67,0,8584,572,1309,90,1,84,48,1.0,1,1,0
32643,2176,26121,1741,211,1682,44,211,1742,36,95.16,1742.0,262.33,0.32,1,0,0.53,1,0,63,81,44,378,383,375,63,79,44,378,402,353,263,2102,55,263,2179,41,119.05,2169.0,318.33,0,8590,573,1299,106,1,81,44,1.0,1,1,0
32556,2170,26187,1745,212,1672,48,211,1746,33,79.55,1040.0,251.0,0.26,1,0,0.33,1,0,63,83,48,379,382,376,63,79,47,379,419,346,264,2074,55,263,2159,43,98.92,1291.0,307.0,0,8640,576,1293,102,1,83,48,1.0,1,1,0
33734,2248,26908,1793,215,1761,49,215,1835,38,92.31,1758.0,257.33,0.31,1,0,0.4,1,0,63,80,49,379,384,375,63,83,47,379,431,344,270,2203,59,270,2279,45,115.54,2181.0,328.0,0,8910,594,1380,121,1,80,49,1.0,1,1,0
32625,2175,26371,1758,212,1669,49,212,1711,34,111.8,1696.0,212.33,0.32,1,0,0.53,1,0,63,86,49,379,383,374,63,90,44,379,421,331,263,2031,55,263,2087,45,138.77,2085.0,254.33,0,8685,579,1292,104,1,86,49,1.0,1,1,0
32440,2162,26015,1734,211,1713,46,211,1786,38,108.02,1728.0,196.33,0.27,1,0,0.47,1,0,63,89,46,379,383,373,63,82,43,379,408,327,264,2147,54,263,2274,45,134.74,2159.0,248.33,0,8563,571,1335,96,1,89,46,1.0,1,1,0
33214,2214,26263,1750,212,1645,45,212,1676,35,83.99,1185.0,192.67,0.31,1,0,0.4,1,0,63,79,45,379,382,374,63,85,45,379,420,341,268,2094,52,268,2116,44,105.86,1473.0,238.33,0,8687,579,1266,108,1,79,45,1.0,1,1,0
32977,2198,26498,1766,213,1788,49,213,1851,35,121.03,1851.0,271.33,0.29,1,0,0.47,1,0,63,85,49,379,382,376,63,84,49,379,421,341,265,2235,61,265,2303,41,150.24,2303.0,339.33,0,8793,586,1409,102,1,85,49,1.0,1,1,0
33062,2204,26310,1754,213,1726,43,212,1766,38,75.13,850.0,196.67,0.29,1,0,0.4,1,0,63,80,43,379,383,376,63,83,45,379,415,355,268,2205,55,266,2242,42,94.16,1060.0,240.33,0,8696,580,1344,109,1,80,43,1.0,1,1,0
