,type,ccAgentID,ccDeviceID,datetime,date,time,hour
0,a,harsheva,harsheva,2022-05-05 10:28:00+03:00,2022-05-05,10:27:34,10
1,a,vlasovaoza,vlasovaoza,2022-04-30 18:01:00+03:00,2022-04-30,18:01:11,18
2,a,abdulaevoz,abdulaevoz,2022-04-27 14:05:00+03:00,2022-04-27,14:05:08,14
3,a,abdulaevoz,abdulaevoz,2022-05-07 16:53:00+03:00,2022-05-07,16:52:35,16
4,a,kostinaoz,kostinaoz,2022-05-11 13:42:00+03:00,2022-05-11,13:41:39,13
5,a,esina_ey,esina_ey,2022-05-17 11:04:00+03:00,2022-05-17,11:04:22,11
6,a,harsheva,harsheva,2022-05-06 09:05:00+03:00,2022-05-06,09:05:04,9
7,a,abdulaevoz,abdulaevoz,2022-04-29 14:51:00+03:00,2022-04-29,14:51:16,14
8,a,kostinaoz,kostinaoz,2022-05-04 09:31:00+03:00,2022-05-04,09:31:22,9
9,a,vlasovaoza,vlasovaoza,2022-05-04 18:53:00+03:00,2022-05-04,18:53:24,18
10,a,kostinaoz,kostinaoz,2022-04-28 10:21:00+03:00,2022-04-28,10:21:04,10
11,a,kostinaoz,kostinaoz,2022-04-29 20:06:00+03:00,2022-04-29,20:06:23,20
12,a,Rus,Rus,2022-05-04 11:25:00+03:00,2022-05-04,11:25:03,11
13,a,harsheva,harsheva,2022-04-27 15:55:00+03:00,2022-04-27,15:54:50,15
14,a,vlasovaoza,vlasovaoza,2022-05-07 19:33:00+03:00,2022-05-07,19:32:51,19
15,a,harsheva,harsheva,2022-05-06 18:05:00+03:00,2022-05-06,18:04:41,18
16,a,abdulaevoz,abdulaevoz,2022-05-08 12:26:00+03:00,2022-05-08,12:26:09,12
17,a,kostinaoz,kostinaoz,2022-04-28 09:39:00+03:00,2022-04-28,09:38:44,9
18,a,kostinaoz,kostinaoz,2022-04-27 15:25:00+03:00,2022-04-27,15:24:56,15
19,a,abdulaevoz,abdulaevoz,2022-05-02 16:01:00+03:00,2022-05-02,16:01:22,16
20,a,vlasovaoza,vlasovaoza,2022-04-30 16:12:00+03:00,2022-04-30,16:11:51,16
21,a,harsheva,harsheva,2022-04-27 17:00:00+03:00,2022-04-27,16:59:48,16
22,a,kostinaoz,kostinaoz,2022-04-28 09:53:00+03:00,2022-04-28,09:52:53,9
23,a,vlasovaoza,vlasovaoza,2022-05-04 17:31:00+03:00,2022-05-04,17:31:20,17
24,a,abdulaevoz,abdulaevoz,2022-05-06 14:35:00+03:00,2022-05-06,14:35:07,14
25,a,mas,mas,2022-05-04 16:19:00+03:00,2022-05-04,16:18:40,16
26,a,abdulaevoz,abdulaevoz,2022-05-16 14:11:00+03:00,2022-05-16,14:11:06,14
27,a,kostinaoz,kostinaoz,2022-04-27 15:58:00+03:00,2022-04-27,15:57:36,15
28,a,vlasovaoza,vlasovaoza,2022-05-04 20:05:00+03:00,2022-05-04,20:05:19,20
29,a,kostinaoz,kostinaoz,2022-05-13 14:16:00+03:00,2022-05-13,14:16:21,14
30,a,Kir,Kir,2022-05-04 12:29:00+03:00,2022-05-04,12:28:33,12
31,a,Rus,Rus,2022-05-04 12:01:00+03:00,2022-05-04,12:01:26,12
32,a,vlasovaoza,vlasovaoza,2022-05-07 14:12:00+03:00,2022-05-07,14:12:10,14
