text,label
"oh pantesan tadi pada rame, ternyata monek mau cb juni. cemas aku tuh",0
"Semakin bertambah usia, semakin cemas hidup.",0
gelisah bgt astaga,1
Udah jangan terlalu cemas sikapku tak berubah rasa masih sama aku hanya mengikuti maumu saja,0
Giliran Aldebaran diambang kematian...Semua baru pada inget...Jangan diulang lagi yaaa delay nya .Kebangetan kalo ga cemas sama bos sendiri~.#IkatanCinta #IkatanCintaEp,0
"tidur susah, pikiran kacau, hati gelisah. Semua tak selaras",1
"Serba salah, mundur sayang, maju ragu. Diem di tempat resah dan gelisah ",1
Udah ngalihin fokus ke yang lain tapi tetep cemas,1
"Resah dan gelisah deh mimin, dah sebulan lewat coy. Maksudx apaan.",1
"Jika kamu resah &amp; gelisah adukan saja kepada RABB""mu dan bacalah Al-Qur'an agar hati jadi sejuk dan kurangi menyinyir terhadap orang lain #bowochallenge #iwartabowochallenge",0
"Kzl bgt sama situasi tadi, cemas, awkward, serba salah. Gasuka.",0
setiap istirahat pasti gelisah kyk ada yg ganjel tp apaan ya,1
"Rasanya takut, cemas, apa saya bisa? Dan semoga keluarga saya atau kita terlindungi :)",1
"Tahun lalu aku keguguran &amp; bener² stres karna kehilangan. Posisiny rahim aku terbalik (retrofleksi) yg katanya susah utk hamil. Rasa takut &amp; cemas banget klo misal gk hamil² lg. Tpi disitu aku gk prnah bosan brdoa, sholat tahajjud, dhuha &amp; setiap ngeliat bumil sllu sholawatin",0
Sudah hampir H- Ramadhan. Setiap malamnya itu umat muslim merasa gelisah. Takut kehilangan Lailatul Qadar yang merupakan malam penuh berkah dan rahmat dari Tuhan.  malamnya setara dengan  Bulan.,0
udh mulai cemas sm album b:c dan sh set ggu pack aku yg tak kunjung pulang,0
Pernah gk sih ngerasain gelisah tapi gk tau sebabnya apa?,1
"Kalo cowoknya sakit, sebenarnya cewek itu juga ngerasa sakit secara ga langsung. Perasaan nya pasti gak tenang dan gelisah. :')",0
ngobatin tryphobia gmn si...?? udh cape banget cemas mlu kebayang bolong nya T-T,0
"Jika hatimu sedih dan tak ada yang mendengarkan gelisah gundamu, cukup datang aja pada Allah, dia pasti ngerti apa yang ada di hatimu ...",0
"Ternyata ngeladenin yg overthinking berlebihan cape juga :’) bukan satu dua org lagi...gua jg degan kali, cemas, tapi kagak diupdate aja di ig",0
"Tidak usah terlalu cemas,.Ceritamu ditulis oleh penulis skenario terbaik",0
"Sidang nya besok, cemas nya sudah ada sejak jadwal keluar",0
"paling males udah diterima offernya tapi gak dijawab, kan aku jadi harap harap cemas",0
Cemas la haih aku dgn  episode last vincenzo ni. Apa nak jd pun tak tau ,0
"[cm] ada ga sih yg kaya aku, lebih takut bimbingan daripada sidang? :( solusi biar ga dag dig dug tiap bimbingan dongg pdhal dosennya ga jahat jahat amat tp selalu degdegan gelisah",0
"udaa  harian tidur gue ga nyenyak bgt, kaya gelisah gt. kenapa yaaa :( [].",1
"""Kau yang memulai harap,.Kau pula yang seketika lenyap..Semacam asyik memainkan cemas dan menanak rindu yang tak tuntas. ..Hebatnya lagi, aku selalu mau menanggapimu. .""",0
"Oh inikah namanya ""saat malam datang ku gelisah...""",0
"*inner* ""Lagipula... aku tak mau membuat Ran cemas."" -Conan Edogawa #v",0
"Bener-bener cemas, pengen nangis.",1
"selalu gelisah tiap malem, pdahal gatau kenapa, salah apa. aneh.",1
"Pura-pura jadi oranglain capek juga. Karena ketika dihadapkan dengan hal yg bertentangan dengan diri sendiri jadi suka cemas berlebihan, gabisa control emosi sendiri krn harus menyesuaikan dengan peran pura-pura tadi, jadi gampang moody.",0
"yang jatuh maka harus siap-siap untuk patah dan jangan cemas.yang patah tentunya pasti akan tumbuh kembali.Tuhan maha adil ga ada yang sia-sia, percaya aja :)",0
"Anakku lagi cemas bgt kalau kepisah bentaran aja. Ga boleh kerja, ga boleh boker. Padahal td dia tidur, w mules, bangun dong. Hahaha",0
"bingung ga enak bgt akhir"" ini tiap mau tidur bawaannya gelisah terus",1
"kdg yang dibutuhin kalo lagi ada masalah adalah ketawa-ketawa sampe lupa kalo lagi ada masalah, pas inget lagi kayak gelisah aj gitu “yahh anj ternyata msh ada beban sedih” asdfghjklzxccvbnm",1
gue liatin terus haechan nyetir hati gue ga tenang kek gelisah gundah meleyot,0
"I'm an early bird yang datang maksimal  menit sebelum waktu janjian. Ketika disuruh tungguin temen dulu gini dan akhirnya temennya lama, terus ikutan telat, haduh rasanyaa gelisah banget. ",0
"Selama bukan prioritas mah gakusah cemas bor, etdah buset.",0
terpantau bunda bunda onlinenya Kyuhyun di twitter sudah sangat cemas menunggu kabar dari sang bayi,0
Sebab cemas ini adalah kamu.,1
Kadang pemikiran sendiri yang bikin diri cemas dan takut buat nutupin mata sampai sampai ga tidur,1
terlihat bapak dosen mulai gelisah karena overtime tapi tidak bisa memotong sesi narasumbernya :)),0
"Tiap bangun tidur pasti gelisah dan degan, sampe kapan cobak",1
"Kyknya emg untuk ngedapetin archon perlu perjuangan ya, venti juga gini tapi zhongli paling bikin cemas",0
duuuuh gelisah #stTasteOfButter,0
apsih anjrit gue cemas bgt smpe jatohin gelas,0
"Sampai sekarang belum terpikir utk melancong ke manapun, krn merasa gak nyaman aja, berwisata dlm kondisi pandemi kayak begini. Berangkat pulang resah, selama jalan pun gelisah. Mana enak?",0
"Cuman bisa bersemoga, walaupun harap cemas kalo awalannya begini....",1
Tuhan itu udah ngatur rejeki umat-umatnya. Gak akan ketuker antara satu sama lain. ..Jangan cemas! Bawa dalam doa saja guys segala kekhawatiran yg kalian rasain. ,0
"begitu aku pisahin cowok itu ,adikku cowok gelisah banget pukul panci ,pukul meja ,pukul pintu apa aja seperti pukul drum gak berhenti buat main musik..dia makan agar saja raganya masuk ke adikku dengan berkali kali bikin kopi termosnya lupa ditutup lagi kayak cowok itu",0
"restive = gelisah, resah",1
"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati""",1
"Rasa cemas itu seperti cache, .Ada tapi harus aku bersihkan.",0
"Kalo cowoknya sakit, sebenarnya cewek itu juga ngerasa sakit secara ga langsung. Perasaan nya pasti gak tenang dan gelisah. :')",1
"Aku pernah menjadi orang paling cemas sebelum aku menjadi orang paling ihklas, aku juga pernah menjadi orang paling khawatir sebelum semuanya berakhir",1
gelisah bgt:’) first time di rumah ini sendirian malemnya,0
Berjaya online at am. Tidur pun dalam keadaan gelisah what is wrong with me,1
Gk bisa tidorr.Gelisah aja bawaannya,1
Udah cemas ngangjat telponnya,1
"Tak pernah terbayangkan bila rindu ini akan menjadi temu, hanya berharap cemas menunggu sampai waktunya tiba.... Seiring berjalannya hari, semakin bertambah rasa rindu ini.....Puan ....",0
"Ketika hati sedang gundah, gelisah dan dipenuhi dengan keputusasaan, ingatlah bahwa hanya kepada Tuhan kita mengadu.",0
"Gimana cara nya bisa merealistiskan suatu harapan dan mimpi,ditengah tengah rasa cemas dengan keadaan",0
"kaki aing balik lg kek wktu ituu, gelisah sblm tidur",0
"fans mana yang ga cemas , panik , nangis kalau bias nya di giniin? gua lemah kalau org pada bahas dia yang engga engga , sumpah lemah banget",0
Mau nyemangatin adik yg besok mo sbm. Tapi ga berani takut dia cemas:(,0
"UBAT DENGAN AMAL :... Selalu sakit - Puasa.. Wajah gelap - Solat Dhuha.. Hati sempit - Baca Quran.. Susah bahagia - Solat tepat masa.. Emosi kacau - Wuduk dan istighfar.. Gelisah - Byk doa dan exercise.. Stress - ""Lahaula walaquwwata illa billah""",0
sedikit resah. sedikit gelisah. yang dirasa selalu merasa bersalah. maaf jikalau saya belum bisa menjadi yang terbaik seperti yang sudah sudah:’,1
Gelisah bgt dah dari tadi pagi ,1
di bikin gelisah mulu anjg,1
"sedikit cemas, banyak rindunya..",0
"mixed feelings itu ketika akhir nya dominasi Juve terhenti, tp yg juara inter, setelah setengah musim milan yg nomer , malah skrg harap cemas untuk masuk liga champion ",0
"Pernah ga, ngerasain paling cemas sampai akhirnya suatu keadaan memaksa kita untuk ikhlas.",0
Ngantuk tp gelisah pas tidur tuh gimana,1
"Ptn! Ad yg cemas bgt buat hasil utbk ga, gmn ya ngatasinyaa. Aku smpe kebawa mimpi , bawaannya tiap hari mual ga nafsu makan, pusing",0
"sedikit cemas, banyak desahnya.",0
"Tak perlu cemas, setiap masalah dalam hidupmu adalah cara Tuhan menunjukkan berkah dan keajaibanNya. #NotebookLife",0
bila kau menangis .. hatiku pun bersedih .. bila kau senang .. hatiku.pun berbunga bila kau gelisah .. hatiku pun bergejolak ini semua karena .. kita SEHATI ..,0
Akan aelalu ada tenang diswla-sela gelisah yang menunggu redah.,0
"Kepala terasa berat, senja lirih menyambut tabir malam. Gelap meronta, ada bisik yang gelisah, meninggalkan resah di dada.",0
Ini gua kenapa ya...Udah mood berantakan trus tuh jantungnya kayak detaknya kuat banget... gelisah banget rasanya.Ada sesuatu apa ya???,1
"Tiap-tiap orang mempunyai penantian. Mari, kita rayakan penantian dengan secangkir kopi dan semangkuk cemas.",0
i have a light heart now. sekarang dah boleh teruskan kehidupan.  dah tiada resah gelisah. thanks to my chingu very much for the encouragement. wah memang lega gila bila tidak simpan perasaan.,0
GAJE BGT SI RA TBTB GELISAH KEKK PAAAN SIHHH GBLOK,1
"Aku patah dan rapuh, aku terluka, aku sudah tak sanggup lagi menahan gelisah, menahan rasa sayang. Samapi sekarang pun aku di abaikan tak di lihat bahkan di tinggalkan jauh. Aku memang tidak seperti yg dia inginkan, mangkanya aku mundur saja ya.",1
"# saran lagu yang bikin tenang dong, gatau kenapa tiba-tiba muncul perasaan gusar/gelisah gini. Thanks!",1
"Yohanes :..""Janganlah gelisah hatimu; percayalah kepada Allah, percayalah juga kepada-Ku.",0
Gelisah terooosss huuu,1
Seneng bgt... Dinotice setelah harap harap cemas.,0
"Jika kamu mampu bersyukur atas apa yang telah Tuhan berikan untukmu, kamu tak akan cemas memikirkan apa yang bukan milikmu. #PalembangHebohQuotes",0
Karnamu.Dikirim Tuhan.Untuk melengkapiku.Tuk jaga hatiku.Karnamu.Hasrat terindah.Untuk cintaku.Takkan cemas.Ku percaya kamu.Karena kau jaga.Tulus cintamu.Ternyata.Kamu yang kutunggu,0
"'/'..Selalu memikirkan dan gelisah karena urusan duniawi itu sama dengan marah atau tidak ridho dengan Allah, tidak ridho pada keputusan Allah, dan tidak bisa sabar atas ujianNya..-Gus baha-",0
kenapa hari ini hati rasanya nggak baik ..cemburu ?.gelisah ?.kecewa ?.merasa gagal ?,1
"Kalo udah ngerasa cape,  jenuh,  bimbang, gelisah,  pikiran gak karuan. cuma satu yg dibutuhkan, yaitu....Duit.Duit.Duit.Duit.Duit.Duit.Duit.Duit.Duit.Duit.Duit.Duit.Duit",0
Banyak bgt hal yang ga tepat di mata gue. Dari yg sepele sampai yg extreme. Well gue tipe org yg pemikir dan selalu cemas akan hal apapun,0
Jd kebiasaan dr sd kalau gua mikir sesuatu bakal jd cemas gk bisa tidr,1
Sumpah w sekarang suka cemas klo chat yg kukirim tuh salah chat room apa kagak. Setiap mau ninggalin WA bakal bolak balik check room chat. Sumpah itu simple little things yg bikin capek.,0
 atiny pada kemana masih streaming kan? absen dulu dong aku jadi agak cemas ...,0
"Dari kemarin kemarin ngerasa ga mood, sensitiv bgt parah, perasaan gelisah, selalu dibuat kaget dan bnyk kejutan setiap harinya yg hampir bikin otak gue mo meledak, semua org jadi sasaran atas mood yg naik turun.Tpi hari ini ngerasa bersyukur banget drama perkuliahaan ini slesai",1
"Malam ini dia terus mengoceh soal uang, ku jadi merasa bingung harus bagaimana. Pernah dia bilang jangan cemas soal uang, namun dia terus mengoceh soal uang.",1
Ngerasa gelisah bgt akhir ini.,1
Yak allah gelisah saya,1
