Year,Month,DayofMonth,DayOfWeek,Carrier,OriginAirport,DestAirport,CRSDepTime,DepDelay,DepDel15,CRSArrTime,ArrDelay,ArrDel15,Cancelled
2013,10,30,3,UA,EWR,BOS,843,-5.0,0.0,957,-14.0,0,0
2013,7,27,6,AS,SFO,SEA,1600,32.0,1.0,1748,32.0,1,0
2013,6,8,6,WN,HOU,RDU,1100,23.0,1.0,1440,4.0,0,0
2013,4,3,3,UA,DEN,PIT,1002,-1.0,0.0,1458,-1.0,0,0
2013,7,26,5,EV,EWR,DTW,830,22.0,1.0,1028,37.0,1,0
2013,10,10,4,OO,MCI,SLC,1425,9.0,0.0,1606,-12.0,0,0
2013,7,3,3,AA,PHL,DFW,845,-2.0,0.0,1120,-23.0,0,0
2013,4,20,6,DL,LGA,MCO,1115,319.0,1.0,1409,318.0,1,0
2013,7,9,2,US,PHL,LAX,1605,24.0,1.0,1850,0.0,0,0
2013,8,7,3,US,LGA,DCA,1600,3.0,0.0,1723,5.0,0,0
2013,10,6,7,EV,MCI,CLE,1427,-1.0,0.0,1724,-12.0,0,0
2013,5,23,4,DL,MCO,JFK,700,-4.0,0.0,936,-22.0,0,0
2013,10,31,4,WN,DEN,MSP,1415,-3.0,0.0,1710,-4.0,0,0
2013,8,7,3,EV,RIC,IAD,2029,42.0,1.0,2115,43.0,1,0
2013,7,25,4,DL,MDW,MSP,1705,4.0,0.0,1831,12.0,0,0
2013,5,20,1,MQ,DEN,ORD,1810,65.0,1.0,2125,120.0,1,0
2013,5,30,4,AA,MCI,DFW,740,,,920,,1,1
2013,7,10,3,US,MSY,PHL,1341,33.0,1.0,1734,63.0,1,0
2013,6,8,6,WN,ORF,BWI,610,-5.0,0.0,705,-18.0,0,0
2013,4,20,6,UA,BOS,ORD,1412,18.0,1.0,1555,10.0,0,0
2013,7,1,1,9E,SDF,MSP,1242,69.0,1.0,1345,55.0,1,0
2013,9,23,1,WN,DEN,MDW,600,-2.0,0.0,915,-14.0,0,0
2013,4,12,5,AA,DFW,AUS,925,12.0,0.0,1020,4.0,0,0
2013,7,21,7,MQ,BUF,ORD,1600,17.0,1.0,1645,7.0,0,0
2013,8,2,5,OO,DEN,SLC,1125,-5.0,0.0,1252,-8.0,0,0
2013,6,5,3,WN,BUR,OAK,1420,1.0,0.0,1530,-6.0,0,0
2013,5,15,3,UA,SEA,IAH,1320,,,1940,,1,1
2013,10,26,6,DL,DTW,MSP,1215,-3.0,0.0,1311,-11.0,0,0
2013,10,20,7,UA,ORD,LGA,1400,7.0,0.0,1709,1.0,0,0
2013,10,23,3,UA,DEN,RNO,1943,-9.0,0.0,2100,-10.0,0,0
2013,9,14,6,AA,LGA,DFW,910,-6.0,0.0,1215,-54.0,0,0
2013,4,22,1,WN,DAL,SAT,1400,116.0,1.0,1500,112.0,1,0
2013,7,16,2,DL,ATL,SLC,1422,42.0,1.0,1620,23.0,1,0
2013,4,17,3,WN,DEN,LAS,745,3.0,0.0,840,8.0,0,0
2013,9,19,4,FL,RIC,MCO,1111,-6.0,0.0,1309,-12.0,0,0
2013,6,17,1,DL,ATL,BOS,1503,8.0,0.0,1755,-7.0,0,0
2013,8,6,2,EV,MEM,IAH,830,11.0,0.0,1010,3.0,0,0
2013,5,7,2,WN,SAT,LAX,1930,1.0,0.0,2045,3.0,0,0
2013,5,26,7,OO,ATL,DEN,748,0.0,0.0,913,-16.0,0,0
2013,8,9,5,AA,DFW,EWR,925,53.0,1.0,1355,54.0,1,0
2013,7,13,6,WN,SAN,SJC,1200,-1.0,0.0,1320,-13.0,0,0
2013,10,28,1,US,PHL,PHX,1345,-4.0,0.0,1603,-7.0,0,0
2013,8,15,4,WN,MKE,LGA,610,-5.0,0.0,910,-12.0,0,0
2013,4,10,3,EV,EWR,ATL,720,-5.0,0.0,944,19.0,1,0
2013,8,7,3,YV,IND,ORD,1029,10.0,0.0,1035,-4.0,0,0
2013,7,1,1,DL,HNL,SLC,2100,-2.0,0.0,704,13.0,0,0
2013,4,24,3,MQ,PIT,ORD,1440,15.0,1.0,1510,10.0,0,0
2013,9,3,2,AA,JFK,AUS,1720,39.0,1.0,2030,-3.0,0,0
2013,9,3,2,US,DFW,PHL,629,-2.0,0.0,1040,-8.0,0,0
2013,7,28,7,WN,BWI,HOU,1045,4.0,0.0,1250,-2.0,0,0
2013,9,26,4,AS,LAX,SEA,1610,-1.0,0.0,1838,11.0,0,0
2013,6,23,7,UA,DEN,LAX,1144,-2.0,0.0,1316,-16.0,0,0
2013,10,21,1,UA,BOS,ORD,728,-6.0,0.0,905,2.0,0,0
2013,9,8,7,WN,SJC,LAX,1655,5.0,0.0,1810,-7.0,0,0
2013,4,17,3,US,MKE,PHX,700,-6.0,0.0,916,-19.0,0,0
2013,10,20,7,DL,RDU,DTW,1235,-3.0,0.0,1425,-11.0,0,0
2013,8,1,4,DL,SEA,JFK,700,-5.0,0.0,1518,-24.0,0,0
2013,9,16,1,US,EWR,CLT,1730,-2.0,0.0,1926,4.0,0,0
2013,10,24,4,F9,DEN,SFO,1215,145.0,1.0,1350,135.0,1,0
2013,7,26,5,UA,LAS,IAH,50,4.0,0.0,543,3.0,0,0
2013,8,7,3,UA,LGA,ORD,1000,-4.0,0.0,1133,46.0,1,0
2013,7,22,1,DL,ATL,SMF,935,-1.0,0.0,1132,-26.0,0,0
2013,8,2,5,EV,IAH,MEM,1130,-2.0,0.0,1304,2.0,0,0
2013,10,30,3,DL,ATL,CVG,1939,29.0,1.0,2110,20.0,1,0
2013,5,2,4,AA,MCO,DFW,1925,17.0,1.0,2115,3.0,0,0
2013,8,18,7,OO,IAH,CMH,1245,0.0,0.0,1624,-13.0,0,0
2013,5,6,1,B6,LAX,BOS,1221,-7.0,0.0,2057,12.0,0,0
2013,10,19,6,UA,SFO,IAD,1250,12.0,0.0,2100,4.0,0,0
2013,6,21,5,US,LAX,PHL,1055,-2.0,0.0,1901,19.0,1,0
2013,10,6,7,9E,STL,MSP,1210,6.0,0.0,1345,-4.0,0,0
